Companies,URL,Description,Industry,Sub-Industry,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Company Status,Founded Year,City,State,Latest Valuation (M),Date of Exit,Latest Exit Round,Latest Full Year Revenue Min (M),Latest Full Year Revenue Max (M),Revenue Time Period
turba,turba.ai,"turba specializes in optimizing artificial intelligence (AI) and machine learning infrastructures within the technology sector. The company provides solutions focused on AI operations, including workload scheduling for resource allocation, monitoring and management of AI and machine learning (ML) environments, and infrastructure recommendations based on digital twin technology. It was founded in 2024 and is based in Mountain View, California.",IT Services,IT Solutions & Software Development,United States,11.23,Foreword,11.23,Seed,2024-04-29,Alive / Active,2024,Mountain View,California,,,,,,
Letta,letta.com,"Letta specializes in developing AI agents within the technology sector. The company offers a platform that enables the creation, deployment, and management of AI agents with memory and reasoning capabilities, supported by a visual interface and APIs. Letta serves the artificial intelligence and machine learning industry. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,10.00,"J12 Ventures, Bair Berkeley Artificial Intelligence Research, Barry McCardel, Clement Delangue, Cristobal Valenzuela, Essence VC Fund, Felicis, Jeff Dean, Jordan Tigani, Robert Nishihara, Sunflower Capital, Tristan Handy",10.00,Seed VC,2024-09-23,Alive / Active,2024,San Francisco,California,70.00,2024-01-01,Spinoff / Spinout,,,
Reflection AI,reflection.ai,"Reflection AI focuses on developing autonomous systems within the artificial intelligence sector. Their main services involve research and development at the intersection of reinforcement learning and language models, with the goal of improving the capabilities of AI systems. The company primarily sells to the AI and machine learning research community. It was founded in 2024 and is based in Brooklyn, New York.",Internet Software & Services,Application & Data Integration,United States,2130.00,"AIX Ventures, Audacious Ventures, Conviction Embed, Lux Capital, Redpoint Ventures, Charles River Ventures, Sequoia Capital, Alexandr Wang, Conviction Capital, Databricks Ventures, Lachy Groom, Lightspeed Venture Partners, NVentures, Reid Hoffman, SV Angel, 1789 Capital, B Capital, Citigroup, DST Global, Disruptive, Eric Schmidt, Eric Yuan, GIC, NVIDIA",2000.00,Series B,2025-10-09,Alive / Active,2024,Brooklyn,New York,8000.00,,,,,
Moonlite AI,moonliteai.com,"Moonlite AI specializes in artificial intelligence with a focus on the insurance industry. The company offers an evolving intelligence suite designed to manage and process claims using state-of-the-art machine learning technology. Their solutions enable insurance providers to have an operational AI system quickly, without the lengthy development times typically associated with machine learning implementations. It was founded in 2024 and is based in Chicago, Illinois.",Internet Software & Services,Data & Document Management,United States,4.25,Hyde Park Venture Partners,4.25,Seed VC,2024-06-21,Alive / Active,2024,Chicago,Illinois,12.30,,,,,
World Labs,worldlabs.ai,"World Labs operates as a spatial intelligence company specializing in artificial intelligence and machine learning. The company focuses on developing large world models (LWMs) that enable artificial intelligence (AI) to perceive, generate, and interact with the three-dimensional (3D) world, both virtual and real, by endowing them with spatial intelligence. World Labs primarily serves sectors that require advanced AI capabilities for understanding and reasoning about 3D environments from various data inputs. It was founded in 2024 and is based in Stanford, California.",Internet Software & Services,Application & Data Integration,United States,230.00,"J12 Ventures, Next Tier Ventures, SV Angel, Sherpalo Ventures, Sound Ventures, a16z Bio Health, Andreessen Horowitz, Radical Ventures, Adobe Ventures, NEA, AMD Ventures, Andrej Karpathy, Anne Wojciciki, Ashton Kutcher, Databricks Ventures, Eric Schmidt, Geoffrey Hinton, Intel Capital, Jeff Dean, Jim Breyer, Marc Benioff, NVentures, Ram Shriram, Reid Hoffman, Ron Conway, Salesforce Ventures, Shinrai Investments, Susan Wojcicki",130.00,Series A - II,2024-09-13,Alive / Active,2024,Stanford,California,1000.00,,,,,
Vals AI,vals.ai,"Vals AI evaluates language models within the context of industry-specific tasks, operating in the artificial intelligence and machine learning sectors. The company assesses the performance of language models on tasks relevant to finance, law, and medicine, providing information on their effectiveness for applications. Vals AI's benchmarks are used for model performance reporting and task-specific evaluation. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,5.00,"J12 Ventures, 8VC, Bloomberg Beta, Pear VC, Sequoia Capital",5.00,Seed VC,2024-04-12,Alive / Active,2024,San Francisco,California,,,,,,
Sema4.ai,sema4.ai,"Sema4.ai focuses on the development of enterprise AI agents within the artificial intelligence sector. The company provides a platform that allows businesses to automate complex tasks and supports decision-making processes. Sema4.ai primarily serves sectors that require data integration, process automation, and compliance management. It was founded in 2024 and is based in Atlanta, Georgia.",Internet Software & Services,Application & Data Integration,United States,55.50,"Artisanal Ventures, Harpoon Ventures, Benchmark, Canvas Ventures, Mayfield, Cox Enterprises, MVP Ventures, Rocketship.vc, Snowflake Ventures",25.00,Series A - II,2025-06-04,Alive / Active,2024,Atlanta,Georgia,,,,,,
Mira,mira.network,"Mira engages in creating a decentralized infrastructure that offers a platform for building complex AI products and enables contributors to monetize AI resources. Mira's ecosystem includes a marketplace for AI developer workflows, an independent evaluator network for trusted AI discovery and rating, and a knowledge graph framework for machine learning operations. The company was founded in 2024 and is based in Singapore.",Internet Software & Services,Web Development,Singapore,9.00,"Accel, BITKRAFT, Crucible Ventures, Folius Ventures, Framework Ventures, Mechanism Capital, SALT Fund",9.00,Seed VC,2024-07-16,Alive / Active,2024,,,,,,,,
CrewAI,crewai.com,"CrewAI develops technology related to multi-agent automation within the artificial intelligence sector. The company provides a platform for building, deploying, and managing AI agents that automate workflows across various industries. Its services include tools, templates for development, and tracking and optimization of AI agent performance. The company was founded in 2024 and is based in Middletown, Delaware.",Internet Software & Services,Application & Data Integration,United States,18.00,"Bessemer Venture Partners, Flybridge Capital Partners, Next Wave NYC, Plug and Play Travel & Hospitality, Alt Capital, Andrew Ng, Blitzscaling Ventures, Craft Ventures, Dharmesh Shah, Earl Grey Capital, Insight Partners, Boldstart Ventures",12.50,Series A,2024-10-22,Alive / Active,2024,Middletown,Delaware,,,,,,
AthenaHQ,athenahq.ai,"AthenaHQ provides generative engine optimization (GEO) services within the artificial intelligence (AI) and digital marketing sectors. The company offers tools for monitoring AI-generated content, identifying content gaps, and analyzing brand mentions. AthenaHQ serves businesses by offering strategies to optimize content for generative AI systems. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,"Advertising, Sales & Marketing",United States,2.70,"FundersClub, Red Bike Capital, Y Combinator, Amino Capital, Anthropic, Ashley Stirrup, Eli Schwartz, Google, Google DeepMind, Palantir, fcvc",2.20,Seed VC,2025-03-01,Alive / Active,2025,San Francisco,California,35.00,,,,,
